id,date,role,village_name,bh_use_num,tariff_costs_consider,tarrif_frequency,tariff_amount,total_money,tariff_hh_number,distance_to_spareparts,available_service_provider,preventive_mantainance,bh_functional,distance_to_spareparts_20_km_away,distance_to_spareparts_0_20_km_away,distance_to_spareparts_dont_know,distance_to_spareparts_within_community,tarrif_frequency_none,tarrif_frequency_per_2_months,tarrif_frequency_per_month,tarrif_frequency_per_quarter,tarrif_frequency_per_year,tarrif_frequency_when_required_for_repairs
89,2023-05-05,Hand pump borehole committee member,Mponela,23,Affordability,Per 2 months,500,130000,18,0-20 km away,0,1,0,0,1,0,0,0,1,0,0,0,0
90,2023-05-05,Community member,Mponela,18,No tarrif system set,None,0,7000,0,0-20 km away,0,0,0,0,1,0,0,1,0,0,0,0,0
91,2023-05-05,Hand pump borehole committee chair,Mponela,27,Affordability,Per quarter,500,250000,23,0-20 km away,0,1,1,0,1,0,0,0,0,0,1,0,0
92,2023-05-05,Hand pump borehole committee member,Kachaka,21,Affordability,Per 2 months,500,60000,10,0-20 km away,0,1,0,0,1,0,0,0,1,0,0,0,0
93,2023-05-05,Hand pump borehole committee chair,Mzangunya,35,Affordability,Per 2 months,0,140000,30,0-20 km away,0,0,0,0,1,0,0,0,1,0,0,0,0
94,2023-05-06,Hand pump borehole committee chair,Mtawale,35,Maintenance costs,When required for repairs,1000,170000,30,Within community,0,0,1,0,0,0,1,0,0,0,0,0,1
95,2023-05-06,Hand pump borehole committee member,Mtawale,30,Affordability,Per quarter,500,80000,28,Within community,0,0,1,0,0,0,1,0,0,0,1,0,0
96,2023-05-06,Hand pump borehole committee chair,Mtawale,45,Maintenance costs,Per year,1000,300000,37,Within community,0,0,1,0,0,0,1,0,0,0,0,1,0
97,2023-05-06,Hand pump borehole committee member,Mkakatavu,17,Affordability,When required for repairs,300,50000,10,0-20 km away,0,0,0,0,1,0,0,0,0,0,0,0,1
98,2023-05-06,Hand pump borehole committee member,Bonje,10,No tarrif system set,None,0,8000,0,0-20 km away,0,0,0,0,1,0,0,1,0,0,0,0,0
99,2023-05-06,Hand pump borehole committee member,Mkakatavu,35,Affordability,Per quarter,500,145000,30,0-20 km away,0,0,1,0,1,0,0,0,0,0,1,0,0
100,2023-05-06,Community member,Mungombwa,12,No tarrif system set,None,0,30000,0,0-20 km away,0,0,1,0,1,0,0,1,0,0,0,0,0
